PLAYER,TEAM,GP,MIN/G,RAM,C-RAM,PSP,3PE,FGS,BMS,DSI,FG%,PTS/G,REB/G,AST/G,STL/G,BLK/G
Dante Allen,Nightrydas Elite (16U),5,28,639,7.8,67,74,64,57,102,52.2%,11.8,3.6,2.6,2.6,0.0
Tai Turnage,New York Renaissance (16U),5,29,630,7.7,73,83,60,56,80,43.1%,16.0,3.0,2.0,1.0,0.2
Tahlan Pettway,City Rocks (16U),4,30,611,7.5,68,81,74,49,91,45.5%,13.3,2.0,4.3,1.8,0.0
Xzavion Mitchell,Phenom University (16U),4,28,609,7.4,73,0,38,73,83,47.1%,17.5,7.3,0.5,0.8,1.0
Salim London,Team Thad (16U),4,25,600,7.3,61,66,71,52,103,43.5%,12.0,2.8,3.3,2.3,0.3
Antonio Munoz,Meanstreets (16U),4,16,596,7.3,59,0,43,76,81,81.8%,5.3,5.5,0.8,0.3,1.5
Isaac Cole,Team Final (16U),4,18,593,7.3,64,62,47,70,85,56.0%,9.5,4.8,0.8,0.3,1.3
Dwayne Wimbley,Nightrydas Elite (16U),5,20,593,7.2,69,56,54,64,58,62.9%,10.4,4.2,1.4,0.2,0.2
Arden Eaves,Meanstreets (16U),4,14,590,7.2,66,82,66,55,72,61.1%,7.3,2.0,1.5,0.5,0.0
Makhi Leach,All Ohio (16U),4,12,589,7.2,68,77,53,58,76,69.2%,7.0,2.8,1.0,0.8,0.0
Jaden Williams,Houston Hoops (16U),5,19,586,7.2,67,90,39,56,29,61.9%,7.8,2.2,0.6,0.0,0.0
Onyx Nnani,UPlay (16U),4,21,585,7.2,57,71,56,52,67,66.7%,5.8,2.3,1.5,0.5,0.3
Kayden Mingo,PSA Cardinals (16U),5,30,584,7.1,63,72,55,65,87,44.7%,12.2,5.0,1.6,1.2,0.0
Emmanuel Joe-Samuel,NJ Scholars (16U),4,26,582,7.1,73,66,47,58,72,49.0%,15.0,3.3,1.0,0.5,0.3
Lawrence Brown,Team Melo (16U),4,28,580,7.1,62,84,67,50,61,39.5%,11.8,2.8,2.3,0.3,0.0
John Keenan,New York Renaissance (16U),5,24,579,7.1,59,83,74,45,108,44.7%,9.6,1.8,4.0,3.2,0.0
Yaris Irby,Mac Irvin Fire (16U),5,22,579,7.1,62,81,67,55,29,59.1%,7.4,2.4,3.2,0.0,0.0
Eli Porter,New York Renaissance (16U),1,20,579,7.1,36,0,68,66,108,40.0%,5.0,7.0,3.0,2.0,1.0
Jeremiah Wilson,Alabama Fusion (16U),5,29,577,7.1,61,71,76,56,66,38.0%,13.4,4.2,4.4,0.6,0.0
Halon Rawlins,NH Lightning (16U),4,23,569,7.0,58,64,56,69,75,50.0%,8.8,5.5,1.5,0.3,0.8
Tristian Ford,Mac Irvin Fire (16U),5,24,563,6.9,62,82,69,60,68,50.0%,10.0,3.8,3.4,0.8,0.2
Kaden Hammond,Team CP3 (16U),5,12,559,6.9,68,84,12,63,71,68.4%,7.2,3.0,0.0,0.4,0.6
Jayce Branson,The Family (16U),4,15,559,6.9,75,45,48,50,31,70.8%,9.8,1.8,1.0,0.0,0.0
Robert Fields,Team Final (16U),4,17,555,6.8,65,0,34,60,92,64.7%,8.8,2.8,0.3,1.5,0.3
Zachariah Scherler,The Family (16U),4,15,551,6.8,60,0,48,70,83,66.7%,7.0,3.8,0.8,0.0,1.0
Christian Cummings,Mac Irvin Fire (16U),5,18,549,6.7,61,86,61,43,74,52.2%,7.8,1.4,1.8,0.8,0.0
Alier Maluk,Team Durant (16U),4,23,548,6.7,58,51,58,75,77,42.0%,11.8,8.5,2.0,0.3,0.5
Zymicah Wilkins,Team United (16U),5,22,546,6.7,67,56,43,66,80,46.8%,13.4,5.2,0.8,0.8,1.0
Luke Walsh,Brad Beal Elite (16U),4,21,543,6.7,74,100,32,35,0,41.5%,13.8,1.0,0.3,0.0,0.0
Luke Bevilacqua,NJ Scholars (16U),4,19,541,6.7,56,55,56,70,61,64.3%,6.5,5.3,1.8,0.3,0.3
Braydon Hawthorne,Team Durant (16U),3,5,540,6.6,55,77,51,41,61,100.0%,1.7,0.3,0.3,0.3,0.0
Darius McGlashen,UPlay (16U),4,29,539,6.6,60,54,62,59,70,50.0%,11.0,3.3,2.5,0.3,0.5
DeMarris Winters,All Ohio (16U),4,18,532,6.5,66,94,39,50,66,46.7%,9.8,1.8,0.5,0.5,0.3
Uzziah Buntyn,Proskills (16U),5,18,531,6.5,50,78,59,55,74,60.0%,4.6,2.0,1.8,0.8,0.0
Hayden Assemian,Team CP3 (16U),5,21,527,6.5,58,0,47,72,71,61.3%,8.0,5.2,1.0,0.0,1.2
Malik Washington,Team Melo (16U),4,30,526,6.5,48,0,53,76,66,57.9%,6.0,7.8,1.5,0.3,0.3
Douglas Able,Georgia Stars (16U),4,26,522,6.4,61,73,63,59,77,34.4%,14.5,5.8,2.5,1.3,0.0
Darius Adams,PSA Cardinals (16U),5,27,521,6.4,69,79,48,62,68,38.5%,16.0,5.2,1.2,1.0,0.0
Ahziel McIver,Drive Nation (16U),5,18,520,6.4,58,64,59,49,69,55.2%,7.8,2.4,1.8,0.6,0.0
Armelo Boone,Team Thad (16U),4,12,516,6.4,66,73,68,51,48,57.1%,8.8,1.5,1.5,0.0,0.0
Jaquan Womack,Team Takeover (16U),5,26,513,6.3,54,50,50,71,66,48.0%,8.6,6.8,1.2,0.2,0.4
Jayden Johnson,Brad Beal Elite (16U),4,24,512,6.3,66,81,50,47,55,45.5%,12.0,2.3,1.3,0.5,0.0
Jordan Lowery,Drive Nation (16U),5,24,510,6.3,57,66,69,51,80,42.6%,10.2,2.8,3.0,1.2,0.0
Jaylen Lawal,Proskills (16U),5,20,509,6.3,57,53,61,52,90,45.5%,9.6,3.2,1.4,1.2,0.0
